,Id,SalePrice
0,1461,128977.15908698244
1,1462,154433.482446601
2,1463,181101.8490817198
3,1464,185426.1789486654
4,1465,204362.58802602088
5,1466,179950.86171703454
6,1467,167548.95293705864
7,1468,169259.48739133976
8,1469,183465.58561324797
9,1470,129961.16719051955
10,1471,200987.30894704934
11,1472,112698.37181455342
12,1473,112468.0234196374
13,1474,154868.05619732893
14,1475,141195.36898102378
15,1476,245090.35255134062
16,1477,249077.85387582623
17,1478,266873.1612962074
18,1479,261488.4733960465
19,1480,230478.2857476125
20,1481,271905.19829877635
21,1482,211934.6535925255
22,1483,176087.33141316334
23,1484,176772.19666309672
24,1485,181438.12772968857
25,1486,197911.11434897725
26,1487,271807.6783016928
27,1488,233426.4393873718
28,1489,205358.85715508737
29,1490,207743.56379633243
30,1491,193642.7080424288
31,1492,112422.5705357615
32,1493,185279.0168414235
33,1494,271849.6635356346
34,1495,267508.88469997817
35,1496,227187.66010561667
36,1497,190159.92453096787
37,1498,162659.89303989848
38,1499,162604.31936128857
39,1500,152730.90666289453
40,1501,173972.01174580527
41,1502,161065.11403647362
42,1503,264215.4378324228
43,1504,233182.8402675674
44,1505,214955.5085985424
45,1506,191046.51424621124
46,1507,216351.3533060096
47,1508,194220.56806270723
48,1509,166166.16626902355
49,1510,147976.95579065004
50,1511,147543.24289054866
51,1512,171299.05404753453
52,1513,149826.41309886894
53,1514,153928.36178783345
54,1515,184592.65572254077
55,1516,161552.71680308334
56,1517,154103.90219505783
57,1518,131372.0951456856
58,1519,219641.9823431118
59,1520,140384.4218434245
60,1521,143125.98547081772
61,1522,172312.493296938
62,1523,116583.85732855948
63,1524,125912.0723074072
64,1525,126349.3141048694
65,1526,124540.11960620811
66,1527,115191.41765655187
67,1528,129496.98773267887
68,1529,148326.38286843355
69,1530,174427.83694120965
70,1531,120355.62713199983
71,1532,115232.55048613329
72,1533,143251.76405196695
73,1534,121395.92216672435
74,1535,154492.04172107542
75,1536,120952.69565616112
76,1537,115703.9098755003
77,1538,182023.56831552155
78,1539,241712.51009002622
79,1540,113998.63532707062
80,1541,147135.50802386508
81,1542,140594.16599780938
82,1543,220459.33326078305
83,1544,114029.09608003095
84,1545,116908.60482570228
85,1546,127270.64178938128
86,1547,138525.66236182884
87,1548,133459.81897598493
88,1549,119796.02788321994
89,1550,145501.10431307845
90,1551,122388.42656211824
91,1552,142464.93310481333
92,1553,148991.72241832028
93,1554,118036.9561281664
94,1555,163583.91679665117
95,1556,115531.82500190864
96,1557,122273.42068662039
97,1558,114209.42098487355
98,1559,114015.36944524325
99,1560,134951.49978639995
100,1561,136322.2092793965
101,1562,128148.27464739695
102,1563,125250.2157077375
103,1564,155686.27877221143
104,1565,149051.47304135034
105,1566,220515.18386470046
106,1567,119035.33021208225
107,1568,218845.05150266056
108,1569,141794.84380897036
109,1570,122769.02514425677
110,1571,128804.796133529
111,1572,148045.38498862376
112,1573,240672.17395101543
113,1574,123506.62933353016
114,1575,211055.62059792236
115,1576,215904.24443297664
116,1577,201589.87711259484
117,1578,152684.43710124367
118,1579,141112.23449752855
119,1580,189891.80145538072
120,1581,145405.97578520034
121,1582,129887.06776409509
122,1583,275827.9637277452
123,1584,238688.67232994566
124,1585,140350.7736379977
125,1586,117866.42378615744
126,1587,112854.37865097391
127,1588,152850.9305151892
128,1589,112035.18956257394
129,1590,135474.3174272494
130,1591,112738.88386430543
131,1592,129602.88805550906
132,1593,128180.74840060469
133,1594,132995.50585275018
134,1595,118821.46548604379
135,1596,236236.88419599645
136,1597,170980.83512282098
137,1598,208004.163672942
138,1599,202796.58912572046
139,1600,196796.8897129336
140,1601,119101.23793075036
141,1602,117744.79495432074
142,1603,114688.09503818997
143,1604,265565.07713054755
144,1605,240438.16371493976
145,1606,166249.558388426
146,1607,169469.8545899701
147,1608,213470.76052615346
148,1609,197679.64126363
149,1610,156863.4228241876
150,1611,144526.52989701467
151,1612,171903.28979896923
152,1613,157605.39357602078
153,1614,128987.79977269232
154,1615,112697.94102339564
155,1616,121364.45021112391
156,1617,113715.29608738111
157,1618,127063.16634816579
158,1619,132763.56338333144
159,1620,149294.06168184598
160,1621,132091.8292443641
161,1622,146573.7458312479
162,1623,267878.5188128935
163,1624,208677.5601577562
164,1625,129312.12891479966
165,1626,173410.95365990198
166,1627,186009.2174349671
167,1628,266601.55192961247
168,1629,182449.5789979227
169,1630,269306.4233991131
170,1631,216694.230701693
171,1632,238586.87486612628
172,1633,174941.7777308787
173,1634,184340.65100386593
174,1635,175599.24123056422
175,1636,159867.47201990365
176,1637,173969.67278476845
177,1638,218514.7870694559
178,1639,184027.85308802137
179,1640,247985.47794283176
180,1641,182903.1179498479
181,1642,222559.102925164
182,1643,225004.66997077808
183,1644,228906.44028721
184,1645,182109.52691340816
185,1646,156488.50676065168
186,1647,168596.20240305708
187,1648,137525.64244687252
188,1649,138774.27331289666
189,1650,125985.6742837045
190,1651,128002.40242056467
191,1652,113658.15741524832
192,1653,112958.76865536728
193,1654,161010.13587986038
194,1655,161575.84280534467
195,1656,150236.98496780853
196,1657,157051.55795601849
197,1658,154227.26285692092
198,1659,148646.0281824202
199,1660,145957.8250309623
200,1661,220025.08143031268
201,1662,241730.43440302624
202,1663,255105.32655228116
203,1664,246384.89233737005
204,1665,275040.87655112986
